Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Tent,Big 4,Durston X-Mid Pro 2,0,509,gram,,0,,
Tent,Big 4,Durston X-Mid Pro 2 (Silnylon floor; 6 stakes + stuff sack) ),1,654,gram,,0,,
Backpack,Big 4,ULA Circuit,1,1038,gram,,0,,
Sleeping pad,Big 4,Therm-a-Rest Neoair XTherm NXT Regular (+ Pump sack),1,540,gram,,0,,
Sleeping bag,Big 4,Neve Gear Waratah 850 (+ 2 straps),1,860,gram,,0,,
Tent Misc,Big 4,Groundsheet,1,150,gram,,0,,
Sleeping pad,Big 4,Therm-a-Rest Z Lite Sol,0,410,gram,,0,,
Sleeping bag,Big 4,Montbell Down Hugger 650,0,928,gram,,0,,
Rain Coat,Packed Clothing,Montbell Versalite,1,143,gram,,0,Worn,
Down Jacket,Packed Clothing,Montbell Plasma 1000,1,130,gram,,0,,
Mid layer,Packed Clothing,Melanzana Micro Grid Hoodie V2,0,340,gram,,0,,
Mid layer,Packed Clothing,Senchi Alpha 90,1,142,gram,,0,Worn,
Camp Base Layer,Packed Clothing,Smartwool Classic All-Season ,1,150,gram,,0,,
Socks,Packed Clothing,Darn Tough Micro Crew,2,70,gram,,0,,
Underwear,Packed Clothing,Uniqlo AIRism Ultra Seamless Boxer Briefs,2,52,gram,,0,,
Leggings,Packed Clothing,For sleeping,1,125,gram,,0,,
Beanie,Packed Clothing,Smartwool Merino Beanie,1,50,gram,,0,Worn,
Neck Gaiter,Packed Clothing,Smartwool,1,50,gram,,0,Worn,
Camp Shoes,Packed Clothing,Sandal,1,150,gram,,0,,
Shoes,Worn Clothing,Altra Lone Peak 9,0,0,gram,,0,Worn,
Shoes,Worn Clothing,Altra Timp 5,1,0,gram,,0,Worn,
Shoes Gaiter,Worn Clothing,Altra Gailter,1,0,gram,,0,Worn,
Pant,Worn Clothing,Decathlon MH500,1,0,gram,,0,Worn,
Base layer,Worn Clothing,Smartwool Merino 150 LS,1,0,gram,,0,Worn,
Underwear,Worn Clothing,,1,0,gram,,0,Worn,
Trekking Poles,Worn Clothing,LEKI Evotrail FX.One TA,1,0,gram,,0,Worn,
Power Bank,Electronics,Nitecore 10000,1,150,gram,,0,,
Camera,Electronics,Fujifilm X-T30,1,390,gram,,0,,
Lens,Electronics,Fujifilm FUJINON XF 16mm F1.4 R WR + Hood,1,450,gram,,0,,
Lens (Alternative),Electronics,Fujifilm FUJINON XF 18-55mm F2.8-4,1,310,gram,,0,,
Tripod,Electronics,AOKA Carbon Mini CMP163C,0,440,gram,,0,,
Phone,Electronics,Iphone 14 Pro Max,0,240,gram,,0,Worn,
Charger,Electronics,Anker PowerPort III 65W,0,105,gram,,0,,
Charger (Alternative),Electronics,Anker Nano 3 30W,1,61,gram,,0,,
Headlamp,Electronics,Nitecore Nu21 360 Lumen,1,44,gram,,0,,
Camera Battery,Electronics,Fuji NP-W126S,2,47,gram,,0,,
Charger,Electronics,Wasabi Power Dual USB Charger,1,55,gram,,0,,
Cables,Electronics,"Short USB-C to USB-C/Lightning (adapter) , Short USB-A to USB-C",3,20,gram,,0,,
Repair kit,Ditty Bag,,1,50,gram,,0,,
Vitamin,Ditty Bag,,1,100,gram,,0,,Consumable
Stove,Cooking,Soto WindMaster,1,87,gram,,0,,
Gas canister ,Cooking,110g ,1,220,gram,,0,,
Gas,Cooking,,1,130,gram,,0,,Consumable
Pot,Cooking,TOAKS Titanium 750 ml,0,110,gram,,0,,
Mug,Cooking,Snowpeak Titanium Single Wall Cup 450ml,1,70,gram,,0,,
Spork,Cooking,,1,15,gram,,0,,
Water filter,Cooking,Sawyer Squeeze Mini,1,70,gram,,0,,
Knife,Cooking,Victorinox Classic SD,1,21,gram,,0,,
Bandaging & wound treatment,Hygiene and First Aid Kit,"5 Plaster/band, 2 Sterile gauze pads, elastic tape",1,50,gram,,0,,
Medication,Hygiene and First Aid Kit,"Paracetamol, Loperamide, ORS",1,25,gram,,0,,
Disinfects & skin,Hygiene and First Aid Kit,"Povidone-iodine / Betadine, Body Glide",1,25,gram,,0,,
Quick cleaning,Hygiene and First Aid Kit,"Wet wipes, Hand sanitizer 10–15 ml",1,100,gram,,0,,Consumable
Washing,Hygiene and First Aid Kit,Dr Bronner 5–10 ml ,1,15,gram,,0,,Consumable
Toothbrush,Hygiene and First Aid Kit,GUM Folding Travel Toothbrush,1,19,gram,,0,,
Toothpaste,Hygiene and First Aid Kit,,1,5,gram,,0,,
Microfiber towel,Hygiene and First Aid Kit,Matador Nanodry,1,160,gram,,0,,
Toilet paper,Hygiene and First Aid Kit,,1,100,gram,,0,,Consumable
Skincare,Hygiene and First Aid Kit,"Lip balm, Vaseline, Sunscreen mini",1,50,gram,,0,,
Nail clipper,Hygiene and First Aid Kit,VICTORINOX Nail Clipper,1,12,gram,,0,,
Water,Food & Drink,,1,2000,gram,,0,,Consumable
Food,Food & Drink,,1,700,gram,,0,,Consumable
Coffee,Food & Drink,,1,250,gram,,0,,Consumable
Temp,Other Gear,,0,500,gram,,0,,
